                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1937,                 4.5217,                  1.933,                0.00427,                 0.0137,                0.00232,                0.00082,                 3.4884,                 4.2949,                 1.5069,                    0.1,                      0,                      0
                      1,                 4.0636,                 4.5107,                 2.0079,                 0.0028,                0.00913,                0.00153,                0.00058,                 3.4938,                 4.2918,                 1.5082,               0.099099,              9.901e-05,              9.901e-05
                      2,                 3.9398,                 4.4858,                 1.8518,                0.00282,                0.00913,                0.00154,                0.00051,                 3.5026,                 4.2915,                 1.5113,               0.098196,             0.00019604,             0.00019604
                      3,                 4.0623,                 4.5387,                 1.9304,                0.00281,                0.00913,                0.00153,                0.00044,                 3.5137,                 4.2828,                 1.5142,               0.097291,             0.00029109,             0.00029109
                      4,                 3.9522,                 4.4147,                 1.7634,                0.00278,                0.00913,                 0.0015,                0.00036,                 3.5323,                 4.2765,                 1.5143,               0.096384,             0.00038416,             0.00038416
                      5,                 4.0927,                 4.3806,                  1.962,                0.00279,                0.00913,                0.00148,                0.00029,                 3.5392,                 4.2737,                 1.5144,               0.095475,             0.00047525,             0.00047525
                      6,                 3.9731,                 4.4742,                 1.8899,                0.00273,                0.00913,                0.00143,                0.00028,                 3.5279,                 4.2644,                 1.5046,               0.094564,             0.00056436,             0.00056436
                      7,                 4.2565,                 4.4524,                 1.8773,                0.00146,                0.00457,                0.00078,                  8e-05,                 3.5017,                 4.2367,                 1.5292,               0.093651,             0.00065149,             0.00065149
                      8,                 4.2233,                 4.5062,                 1.8308,                0.00147,                0.00457,                0.00078,                0.00016,                 3.5177,                 4.2327,                 1.5316,               0.092737,             0.00073664,             0.00073664
                      9,                 4.0957,                 4.4258,                 2.0384,                0.00309,                0.00913,                0.00161,                0.00032,                 3.4007,                 4.2125,                 1.5469,                0.09182,             0.00081981,             0.00081981
